id,Russian,English,orthography,transcription,prs,form2,form3,pos,additional_forms,kk,jena200,gld110,def_RU,context
239,КРИЧАТЬ (ОСЁЛ),HEE-HAW,гӏанеду,ʕandegu,гӏанда эгу (гӏандегу),гӏани,гӏаниби,v,,157,0,0,"Производить звук, издаваемый ослом.",Ослы кричат.
240,МЯУКАТЬ,MEAOW,мявуледу,mʲawudegu,мявуда эгу (мявудегу),мявули,мявулиби,v,,158,0,0,"Производить звук, издаваемый кошкой.",Кошки мяукают.
241,ЛАЯТЬ,BARK (V.),гъараледу,ʁaradegu,гъарада эгу (гъарадегу),гъарали,гъаралиби,v,,159,0,0,"Производить короткий, прерывистый звук, издаваемый собакой.",Собаки лают.
242,РЫЧАТЬ,ROAR,гъургъуриледу,ʁurʁuridegu,гъургъурида эгу (гъургъуридегу),гъургъурили,гъургъурилиби,v,,160,0,0,"Производить продолжительный звук, издаваемый собакой при угрозе нападения.","Когда собака хочет укусить, она рычит."
243,ВЫТЬ,HOWL,гьавуледу,hawudegu,гьавуда эгу (гьавудегу),гьавули,гьавулиби,v,,161,0,0,"Производить звук, издаваемый волком или шакалом ночью.",Ночью шакалы воют.
244,КУКАРЕКАТЬ,CROW,гӏигӏуледу,ʕiʕudegu,гӏигӏуда эгу (гӏигӏудегу),гӏигӏули,гӏигӏулиби,v,,162,0,0,"Производить звук, издаваемый петухом.",Петухи кукарекают по утрам.
245,ЖУЖЖАТЬ,BUZZ,зунзуниледу,zunzunidegu,зунзунида эгу (зунзунидегу),зунзунили,зунзунилиби,v,,163,0,0,"Производить звук, издаваемый насекомыми во время полёта.","Мухи жужжат, когда летают."
246,ШИПЕТЬ,HISS,хьирхьириледу,xirxiridegu,хьирхьирида эгу (хьирхьиридегу),хьирхьирили,хьирхьирилиби,v,,164,0,0,"Производить звук, издаваемый змеёй.","Змеи шипят, когда нападает."
247,ТЕЛО,BODY,къаркъала,qʼarqʼala,,къаркъалул,къаркъалди,n,,23,0,0,"Физическая форма, структура человека; совокупность всех конечностей и органов. Отличать от значения ‘мёртвое тело’, ‘труп’.",1. После сенокоса болит всё тело. 2. Всё его тело покрыто волдырями.
248,БОК,SIDE,гӏесиб,ʕesib,,гӏесибул,гӏесибди,n,,28,0,0,Боковая сторона тела человека.,1. Уложи мальчика на правом боку. 2. После бега у меня болят бока.
249,КОЖА,SKIN,цӏоку,cʼоku,,цӏокул,цӏокаби,n,,0,144,76,"Кожа человека. (GLD) Если в языке есть и общее слово для кожи, в том числе используемой как материал, и специальное слово для кожи на теле человека (ср. авар. <i>къехь</i> vs. <i>тІом</i>), сюда вводится второе.",1. Я порезал свою кожу. (GLD) 2. Под кожей человека мышцы и кости.
250,ШКУРА МЕЛКОКОПЫТНОГО,HIDE OF GOATS AND SHEEP,цӏоку,cʼоku,,цӏокул,цӏокаби,n,,69,0,0,"Шкура овец и коз. В отличие от 250 КОЖА, здесь нужно выбирать слово, способное обозначать кожу как материал (см. контексты).","1. Я снял шкуру с овцы. 2. Из овечьих шкур делают X, из коровьих — Y."
251,ШКУРА КРУПНОКОПЫТНОГО,HIDE OF COWS,кьини,ʟʼini,,кьинилул,кьинибади,n,,70,0,0,"Шкура коров. В отличие от 250 КОЖА, здесь нужно выбирать слово, способное обозначать кожу как материал (см. контексты).","1. Я снял шкуру с коровы. 2. Из овечьих шкур делают X, из коровьих — Y."
252,ШЕРСТЬ ОВЕЧЬЯ,WOOL OF SHEEP,мигьи,mihi,,мигьил,мигьи,n,,71,0,0,Волосяной покров овцы в функции материала для одежды.,"1. Я состриг шерсть с овцы. 2. Из овечьей шерсти делают X, из козьей — Y."
253,ШЕРСТЬ КОЗЬЯ,WOOL OF GOATS,гъари,ʁari,,гъарил,-,n,,72,0,0,Волосяной покров козы в функции материала для одежды.,"1. Я состриг шерсть с козы. 2. Из овечьей шерсти делают X, из козьей — Y."
254,ВОЛОСЫ,HAIR (MASS),богьура,bоhura,,богьурал,богьурди,n,,0,68,36,"Волосы на голове человека. Следует строго отличать от (отдельного) ‘волоска’, ‘волос на теле’ (шерсть, мех) и ‘волос на лице’ (борода, усы). Не путать с конкретизированными типами волос (напр., ‘длинные волосы’, ‘светлые волосы’, ‘курчавые волосы’, разные типы причесок и т. п.). (GLD)","1. Он дернул его за волосы. 2. У меня волосы лучше растут, чем у него. 3. На голове растут волосы, на лице усы и борода."
255,ВОЛОС,HAIR (SINGLE),лъуни,ɬuni,,лъунил,лъунаби,n,,73,0,0,"Один элемент волосяного покрова. Часто выражается другим корнем, чем ВОЛОСЫ.",В супе был волос.
256,ПРИЧЕСКА МУЖСКАЯ,MALE HAIRCUT,минаркъелири,minarqʼeliri,,минаркъелирил,минаркъелирди,n,,74,0,0,,У этого мальчика красивая причёска.
257,БОРОДА,BEARD,мигяж,migʲaž,,мигяжул,мигяжиби,n,,78,0,0,"Facial hair of humans on the chin, cheeks and jaw. (Concepticon)",1. Борода старика поседела. 2. Борода растёт на подбородке и щеках. 3. У мужчин на лице растут борода и усы.
258,УСЫ,MOUSTACHE,михъ,miq,,михъул,михъалди,n,,79,0,0,Волосы на лице человека между носом и верхней губой. (Concepticon),1. У мужчин на лице растут борода и усы. 2. Усы растут над губами.
